,Daira,Nombre de communes,Communes,Wilaya
0,Adrar,3,Adrar • Bouda • Ouled Ahmed Tammi,Adrar
1,Aoulef,4,Akabli • Aoulef • Tamekten • Tit,Adrar
2,Daïra d'Aougrout,3,Aougrout • Deldoul • Metarfa,Adrar
3,Bordj Badji Mokhtar,2,Bordj Badji Mokhtar • Timiaouine,Adrar
4,Charouine,3,Charouine • Ouled Aïssa • Talmine,Adrar
5,Fenoughil,3,Fenoughil • Tamantit • Tamest,Adrar
6,Reggane,2,Reggane • Sali,Adrar
7,Timimoun,2,Timimoun • Ouled Said,Adrar
8,Tinerkouk,2,Ksar Kaddour • Tinerkouk,Adrar
9,Tsabit,2,Sebaa • Tsabit,Adrar
10,Zaouiet Kounta,2,Zaouiet Kounta • In Zghmir,Adrar
